rospy.time, area
1685484173380400657, 7845.0
1685484174383768796, 7845.0
1685484175391568183, 9189.0
1685484176400238037, 15941.0
1685484177407778978, 24157.0
1685484178415864944, 31548.0
1685484179424139261, 40176.0
1685484180432299613, 49122.0
1685484181440033197, 56876.0
1685484182447751283, 65002.0
1685484183455709934, 73787.0
1685484184464066743, 81739.0
1685484185471649169, 88602.0
1685484186480236530, 97314.0
1685484187487471342, 106645.0
1685484188496278762, 115417.0
1685484189504389286, 123041.0
1685484190512117385, 131330.0
1685484191520705461, 139637.0
1685484192528325557, 147001.0
1685484193536215782, 155640.0
1685484194544384241, 164478.0
1685484195552260637, 171626.0
1685484196560226678, 177904.0
1685484197567788600, 185960.0
1685484198575516939, 194177.0
1685484199583836078, 201455.0
1685484200592345714, 209110.0
1685484201600409746, 217043.0
1685484202607639074, 224531.0
1685484203616262674, 230219.0
1685484204624197959, 237005.0
1685484205632378101, 241557.0
1685484206640018463, 243684.0
1685484207648036956, 245885.0
1685484208656316757, 248637.0
1685484209663781404, 251056.0
1685484210671805858, 253008.0
1685484211679892778, 255436.0
1685484212688206911, 258203.0
1685484213696159124, 260780.0
1685484214704243898, 263171.0
1685484215712073326, 265952.0
1685484216719530820, 268761.0
1685484217728089332, 270714.0
1685484218735694408, 273376.0
1685484219743970632, 276199.0
1685484220751610517, 279289.0
1685484221760647058, 282327.0
1685484222767610788, 286543.0
1685484223775926351, 291725.0
1685484224784212827, 297056.0
1685484225791450023, 303101.0
1685484226799728393, 308591.0
1685484227807734012, 313347.0
1685484228816261529, 318805.0
1685484229824421644, 323977.0
1685484230831790685, 329254.0
1685484231840326309, 334553.0
1685484232848126649, 340098.0
1685484233855840206, 345365.0
1685484234863649129, 351165.0
1685484235871664524, 357832.0
1685484236879563808, 363864.0
1685484237887367486, 370508.0
1685484238896004676, 376971.0
1685484239904068946, 383801.0
1685484240911766529, 390810.0
1685484241919816970, 398141.0
1685484242928458213, 405173.0
1685484243936018466, 410562.0
1685484244943545579, 415808.0
1685484245951499223, 421999.0
1685484246959717750, 428536.0
1685484247967604875, 434603.0
1685484248975635766, 440420.0
1685484249984091758, 446477.0
1685484250992443561, 453181.0
1685484252000126361, 458133.0
1685484253008043050, 463875.0
1685484254015948772, 469457.0
1685484255023825407, 473582.0
1685484256031378269, 478338.0
1685484257040045499, 483217.0
1685484258047650575, 486368.0
1685484259056190013, 487962.0
1685484260063842296, 488792.0
1685484261072252511, 489761.0
1685484262080170392, 489999.0
1685484263087811946, 489999.0
1685484264095689535, 489999.0
1685484265103870630, 489999.0
