rospy.time, area
1687113341312543153, 7845.0
1687113342320555925, 23535.0
1687113343328691005, 25026.0
1687113344335571050, 31050.0
1687113345343702793, 37285.0
1687113346351845979, 43210.0
1687113347360517263, 49342.0
1687113348367859125, 54955.0
1687113349376039505, 60433.0
1687113350383983135, 66122.0
1687113351391471147, 72062.0
1687113352399367570, 77730.0
1687113353408020973, 83636.0
1687113354416079521, 89696.0
1687113355423959255, 95839.0
1687113356432209014, 101960.0
1687113357439562320, 108191.0
1687113358448421716, 114140.0
1687113359456098079, 119260.0
1687113360464294910, 122257.0
1687113361471951007, 125540.0
1687113362479568958, 129910.0
1687113363487658262, 134348.0
1687113364495920181, 138621.0
1687113365504745006, 142604.0
1687113366512706279, 146567.0
1687113367520565986, 150522.0
1687113368528503179, 154938.0
1687113369535681247, 160005.0
1687113370544649124, 164923.0
1687113371551783323, 169117.0
1687113372560001850, 173238.0
1687113373567614555, 177504.0
1687113374576381444, 181865.0
1687113375584425210, 186322.0
1687113376592215061, 190951.0
1687113377599981546, 194781.0
1687113378607686758, 198088.0
1687113379615777730, 200791.0
1687113380624083280, 202935.0
1687113381632442474, 204753.0
1687113383278414964, 205327.0
